"customer_city","payment_type","order_status","average_order_value"
mariapolis,boleto,delivered,37.84
sao gabriel da palha,voucher,delivered,37.89
pindare mirim,boleto,delivered,38.00
ponto dos volantes,boleto,delivered,38.01
garopaba,credit_card,shipped,38.08
ipora,boleto,delivered,38.09
cambiasca,credit_card,delivered,38.09
tocantinopolis,boleto,delivered,38.12
bom sucesso,debit_card,delivered,38.13
santa rosa,voucher,delivered,38.13
santa helena de goias,debit_card,delivered,38.17
andradina,credit_card,shipped,38.22
eneas marques,credit_card,delivered,38.22
itaguara,credit_card,delivered,38.24
guaratinga,credit_card,delivered,38.29
ubatuba,boleto,invoiced,38.30
monte alegre de minas,voucher,delivered,38.33
cananeia,boleto,delivered,38.36
jacarezinho,boleto,delivered,38.38
pedra menina,boleto,delivered,38.50
cabo verde,voucher,delivered,38.51
ibirite,credit_card,shipped,38.53
novo progresso,boleto,delivered,38.60
rio grande,voucher,delivered,38.64
borborema,credit_card,canceled,38.75
nova santa rita,boleto,delivered,38.82
sao sebastiao de campos,voucher,delivered,38.90
camaqua,boleto,shipped,39.01
engenheiro paulo de frontin,boleto,delivered,39.09
itapora,boleto,delivered,39.09
santo antonio do palma,boleto,delivered,39.09
farroupilha,voucher,delivered,39.10
sertao santana,credit_card,delivered,39.13
pocos de caldas,debit_card,delivered,39.15
engenheiro passos,boleto,delivered,39.15
lins,credit_card,canceled,39.15
bom conselho,voucher,delivered,39.28
delfim moreira,credit_card,delivered,39.37
volta redonda,boleto,shipped,39.42
campos do jordao,voucher,delivered,39.46
sao leopoldo,credit_card,canceled,39.48
ribeirao preto,boleto,canceled,39.49
santana do capivari,boleto,delivered,39.52
brazabrantes,credit_card,delivered,39.60
tracuateua,boleto,delivered,39.61
dom basilio,boleto,delivered,39.67
salvador,voucher,shipped,39.69
serio,credit_card,delivered,39.69
martins soares,boleto,delivered,39.81
iacri,boleto,delivered,39.84
vargem alegre,voucher,processing,39.86
boraceia,credit_card,delivered,39.96
tibagi,boleto,delivered,40.00
monte santo,boleto,delivered,40.00
miguel pereira,debit_card,delivered,40.00
bras pires,credit_card,delivered,40.00
mirandopolis,boleto,delivered,40.00
sobralia,boleto,delivered,40.00
cosmopolis,credit_card,processing,40.05
santo antonio do sudoeste,voucher,delivered,40.05
luizlandia do oeste,credit_card,delivered,40.09
uniao do oeste,boleto,delivered,40.09
arroio do meio,credit_card,processing,40.09
leoberto leal,credit_card,delivered,40.09
cerro largo,debit_card,delivered,40.09
francisco beltrao,voucher,delivered,40.10
piracanjuba,voucher,delivered,40.10
lagoa santa,boleto,shipped,40.15
ipecaeta,credit_card,delivered,40.19
nova campina,boleto,delivered,40.29
votorantim,debit_card,delivered,40.29
demerval lobao,voucher,delivered,40.38
sao caetano do sul,debit_card,delivered,40.39
boa vista da aparecida,voucher,delivered,40.60
missao velha,credit_card,delivered,40.62
gastao vidigal,boleto,delivered,40.67
sao vicente,voucher,delivered,40.69
duartina,boleto,delivered,40.69
dias d'avila,boleto,shipped,40.78
caturama,credit_card,delivered,40.79
fernao,credit_card,delivered,40.85
vespasiano,voucher,delivered,40.86
vargem,credit_card,delivered,40.86
paranacity,credit_card,delivered,40.86
morro vermelho,boleto,delivered,40.99
terra roxa,voucher,delivered,41.00
carlos chagas,credit_card,shipped,41.09
rio largo,voucher,delivered,41.09
itapetininga,voucher,delivered,41.11
santa rita de caldas,voucher,delivered,41.16
cruzilia,boleto,delivered,41.17
catigua,boleto,delivered,41.20
satiro dias,credit_card,delivered,41.29
ribeira do pombal,boleto,delivered,41.29
guaruja,debit_card,delivered,41.30
sabara,voucher,delivered,41.42
grao para,boleto,delivered,41.50
aparecida de goiania,boleto,shipped,41.52
ibirataia,credit_card,delivered,41.69
francisco santos,credit_card,delivered,41.70
curiuva,credit_card,delivered,41.74
valparaiso,boleto,delivered,41.76
serra do ramalho,boleto,delivered,41.78
iacri,credit_card,delivered,41.78
guarei,debit_card,delivered,41.79
nova guarita,credit_card,delivered,41.79
santo anastacio,voucher,delivered,41.84
barra de sao joao,voucher,delivered,41.96
claudio,boleto,canceled,42.00
acreuna,boleto,delivered,42.05
guaranta do norte,voucher,delivered,42.06
jardim alegre,credit_card,delivered,42.07
caete,voucher,delivered,42.09
anita garibaldi,voucher,delivered,42.10
corumba de goias,boleto,delivered,42.10
monte carlo,voucher,delivered,42.11
porteiras,credit_card,delivered,42.18
sao jose da lapa,boleto,delivered,42.18
silveira carvalho,credit_card,delivered,42.27
vazante,debit_card,delivered,42.38
turvelandia,credit_card,delivered,42.40
campo ere,boleto,delivered,42.40
italva,credit_card,canceled,42.42
nanuque,voucher,delivered,42.44
fernandopolis,credit_card,invoiced,42.77
rancharia,debit_card,delivered,42.78
carapicuiba,debit_card,shipped,42.78
bonfim paulista,voucher,delivered,42.78
dracena,debit_card,delivered,42.79
presidente tancredo neves,boleto,delivered,42.82
aguas de santa barbara,credit_card,delivered,42.87
uniao de minas,credit_card,delivered,42.90
itaipulandia,boleto,delivered,43.00
aracaju,credit_card,invoiced,43.05
monte formoso,credit_card,delivered,43.09
serra dos aimores,voucher,delivered,43.09
sao joao d'alianca,credit_card,delivered,43.09
irani,boleto,delivered,43.09
pocrane,credit_card,delivered,43.09
miracema,boleto,shipped,43.09
vila langaro,boleto,delivered,43.09
sao joao de petropolis,credit_card,delivered,43.09
brazabrantes,boleto,delivered,43.10
pinhais,credit_card,shipped,43.10
quatro barras,voucher,delivered,43.10
nova trento,boleto,delivered,43.13
medicilandia,boleto,delivered,43.14
minduri,credit_card,delivered,43.18
flores de goias,credit_card,delivered,43.22
cachoeira alta,boleto,delivered,43.27
mairipora,voucher,delivered,43.41
nanuque,debit_card,delivered,43.59
angelo frechiani,debit_card,delivered,43.60
santa barbara d oeste,credit_card,delivered,43.65
embu das artes,credit_card,processing,43.71
jacupiranga,voucher,delivered,43.79
vicosa do ceara,boleto,delivered,43.79
pires ferreira,credit_card,delivered,43.79
matelandia,credit_card,delivered,43.80
tracunhaem,credit_card,shipped,43.83
capivari,voucher,delivered,43.84
paranapua,credit_card,delivered,43.90
icaraima,boleto,delivered,43.95
itapuranga,boleto,shipped,43.95
baixo guandu,boleto,delivered,43.95
guaruja do sul,boleto,delivered,44.00
agua comprida,boleto,delivered,44.00
roncador,credit_card,delivered,44.09
cariacica,debit_card,delivered,44.09
carmo do rio claro,voucher,delivered,44.10
santo angelo,voucher,delivered,44.10
campos dos goytacazes,credit_card,processing,44.10
sao borja,boleto,delivered,44.11
sao francisco de paula,boleto,delivered,44.15
iuna,boleto,delivered,44.23
ouro preto,debit_card,delivered,44.27
itaquaquecetuba,voucher,delivered,44.33
iguatama,debit_card,delivered,44.37
joao pinheiro,voucher,delivered,44.38
penha,voucher,delivered,44.38
uruana,boleto,delivered,44.41
pescador,boleto,delivered,44.42
sao goncalo,boleto,canceled,44.46
belo horizonte,debit_card,canceled,44.47
canoinhas,voucher,delivered,44.50
presidente bernardes,credit_card,processing,44.51
senhora dos remedios,boleto,delivered,44.51
viamao,credit_card,processing,44.52
cocal do sul,boleto,delivered,44.52
rio das flores,boleto,delivered,44.52
sao felix,boleto,delivered,44.69
cristopolis,debit_card,delivered,44.82
santa maria do para,boleto,delivered,44.83
pirapora do bom jesus,boleto,delivered,44.88
pouso alegre,debit_card,delivered,44.89
santa luzia do norte,credit_card,delivered,44.95
miranda,credit_card,delivered,45.00
sulina,credit_card,delivered,45.00
marques de souza,credit_card,delivered,45.00
getulina,credit_card,delivered,45.00
ipatinga,voucher,shipped,45.00
corrego do ouro,credit_card,delivered,45.01
salto de pirapora,boleto,delivered,45.08
sao tiago,boleto,delivered,45.08
corumba,voucher,delivered,45.08
santa rita de jacutinga,credit_card,delivered,45.09
bento goncalves,credit_card,canceled,45.09
centralina,credit_card,delivered,45.09
astorga,voucher,delivered,45.09
herval,credit_card,shipped,45.09
rondonopolis,voucher,delivered,45.12
monte carmelo,voucher,delivered,45.14
trindade,debit_card,delivered,45.19
louveira,debit_card,delivered,45.27
corinto,boleto,delivered,45.37
lavinia,boleto,delivered,45.37
ladainha,boleto,delivered,45.42
peabiru,boleto,processing,45.46
